epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_tn,train_fp,train_fn,train_tp,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,tn,fp,fn,tp,steps,train_rows,val_rows,epoch_s,best
1,0.110542,0.957842,0.971771,0.960957,0.966334,2222660,110728,154868,3811744,0.091817,0.969723,0.952487,0.951434,0.95196,0.994055,0.98989,468816,10475,10719,209990,770,6300000,700000,820.0,True
2,0.076737,0.971721,0.981626,0.973304,0.977447,2261125,72263,105893,3860719,0.086405,0.970777,0.943459,0.965158,0.954185,0.995586,0.992671,466525,12766,7690,213019,770,6300000,700000,836.7,True
